"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
2019;"Unprovoked";"Eastern Cape Province";"Surf skiing ";"M";;"No injury, shark bit surf ski";"N";
2019;"Watercraft";"Eastern Cape Province";"Kayaking fishing";"M";;"No injury, kayak damaged";"N";"White shark, 4 m"
2019;"Unprovoked";"Eastern Cape Province";"Surfing";"M";"20's";"Leg injured";"N";"White shark, juvenile"
2019;"Provoked";"Eastern Cape Province";"Fishing";"M";46;"Lacerations to arm from shark caught in trawl net  PROVOKED INCIDENT";"N";"2.5 m shark"
2019;"Watercraft";"KwaZulu-Natal";"Fishing";"M";;"No  injury to occupants, shark bit pontoon causing it to deflate.";"N";
2018;"Unprovoked";"KwaZulu-Natal";"Fishing";"M";41;"Surf-ski bitten but no injury to occupant";"N";"White shark, 3m"
2018;"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"Minor injury, marks on board";"N";
2018;"Unprovoked";"Western Cape Province";"Surf-skiing";"M";33;"No injury, shark bit hole in ski";"N";"White shark, 2.5 m"
2018;"Unprovoked";"Eastern Cape Province";"Surfing";"M";19;"Lacerations to left knee & lower leg";"N";"White shark"
2018;"Unprovoked";"KwaZulu-Natal";"Scuba Diving";"M";38;" The shark & man simply collided; neither were injured";"N";"Blacktip shark"
2017;"Invalid";"Western Cape Province";"Scuba Diving";"M";31;"FATAL, but death was probably due to drowning";;
2017;"Invalid";"Western Cape Province";"Scuba Diving";"M";25;"FATAL, but death was probably due to drowning";;
2017;"Unprovoked";"Western Cape Province";"Swimming, poaching abalone";"M";;"FATAL";"Y";
2017;"Unprovoked";"Eastern Cape Province";"Surfing";"F";13;"No injury, shark bit surfboard";"N";"White shark, 2.5 m"
2017;"Unprovoked";"Western Cape Province";"Surfing";"M";14;"Minor injury to right calf";"N";
2017;"Invalid";"KwaZulu-Natal";"Scuba Diving";"M";68;"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.";;"Shark involvement prior to death not confirmed"
2017;"Watercraft";"KwaZulu-Natal";"Fishing";"M";;"Shark damaged kayak, no injury to occupant";"N";"Tiger shark"
2016;"Unprovoked";"Western Cape Province";"Surf skiing ";"M";55;"No injury, but ski severely damaged";"N";"White shark, 4 m"
2016;"Unprovoked";"Western Cape Province";"Spearfishing";"M";43;"Injuries to left leg & right hand";"N";"White shark"
2016;"Unprovoked";"Western Cape Province";"Surf-skiing";"M";;"No injury, surf-ski bitten";"N";"White shark"
2016;"Watercraft";"KwaZulu-Natal";"Fishing";"M";;"No injury, shark capsized kayak";"N";
2015;"Watercraft";"KwaZulu-Natal";"Fishing";"M";;"No injury, kayak damaged";"N";"White shark, 3 m"
2015;"Unprovoked";"Eastern Cape Province";"Swimming / Wading";"F";22;"Lacerations to both hands and forearms";"N";
2015;"Unprovoked";"Western Cape Province";"Surfing";"M";42;"Lacerations to right calf, knee & hip";"N";"White shark, 3 to 3.5m "
"2015";"Unprovoked";"Eastern Cape Province";"Surfing";"M";34;"No injury";"N";"White shark"
"2015";"Unprovoked";"Western Cape Province";"Body Boarding";"M";"19";"Right leg severed, multiple lacerations to left leg";"N";"White shark"
"2015";"Unprovoked";"Western Cape Province";"Surfing";"M";"23";"Multiple lacerations to torso & leg";"N";"White shark, 2m to 3 m"
"2015";"Unprovoked";"Eastern Cape Province";"Diving";"M";"29";"Injuries to leg, left arm & both hands";"N";"White shark, 3.5 m"
"2015";"Watercraft";"Eastern Cape Province";"Kayak Fishing";"M";"36";"No injury but kayak bitten";"N";"White shark, 4 m"
"2015";"Unprovoked";"Eastern Cape Province";"Floating";"M";"24";"Foot bitten";"N";
"2015";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"15";"Lacerations to lower left leg, puncture wounds to sole of left foot";"N";"Raggedtooth shark, 1.3 m"
"2014";"Invalid";"KwaZulu-Natal";"Swimming";;;"Minor cuts on feet";;"Shark involvement not confirmed & highly unlikely"
"2014";"Unprovoked";"Western Cape Province";"Surfing";"M";"20";"Lower limbs & thigh bitten";"N";"White shark"
"2014";"Unprovoked";"Western Cape Province";"Diving";;;"4-inch laceration to arm";"N";"Cow shark"
"2014";"Watercraft";;"Shark watching";;;"No injury to occupants, shark bit pontoon";"N";"White shark"
"2014";"Provoked";"Eastern Cape Province";"Fishing";"M";;"Lacerations to leg & hand by hooked shark PROVOKED INCIDENT";"N";" Raggedtooth shark, 2m"
"2014";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"66";"FATAL";"Y";"2 m shark"
"2013";"Unprovoked";"Western Cape Province";"Surfing";"M";"19";"Injuries to left thigh";"N";"White shark, 3m "
"2013";"Unprovoked";"Eastern Cape Province";"Swimming / snorkeling";"M";"74";"FATAL";"Y";"White shark"
